11:40;temperature;-11
11:40;wind_speed;13
11:40;pressure;727
11:40;temperature;-1
11:40;wind_speed;17
11:40;pressure;748
11:40;temperature;-20
11:40;wind_speed;19
11:40;pressure;741
15:40;temperature;-10
15:40;wind_speed;23
15:40;pressure;720
15:42;temperature;-11
15:42;wind_speed;2
15:42;pressure;728
15:50;temperature;-9
15:50;wind_speed;21
15:50;pressure;747
15:50;temperature;-4
15:50;wind_speed;10
15:50;pressure;721
15:51;temperature;-15
15:51;wind_speed;8
15:51;pressure;732
15:51;temperature;-7
15:51;wind_speed;2
15:51;pressure;735
